,time,pblh(m)
892,2013-06-11,1698.7585
893,2013-06-12,1947.8195
894,2013-06-13,1929.6886
895,2013-06-14,1875.8792
896,2013-06-15,2108.2407
897,2013-06-16,1884.4675
898,2013-06-17,1793.7601
899,2013-06-18,432.6725
900,2013-06-19,1137.9209
901,2013-06-20,1622.047
902,2013-06-21,1400.6064
903,2013-06-22,1619.6084
904,2013-06-23,1081.3547
905,2013-06-24,1988.1633
906,2013-06-25,1864.9053
907,2013-06-26,1740.3218
908,2013-06-27,842.5256
909,2013-06-28,1537.4893
910,2013-06-29,1916.064
911,2013-06-30,1023.62225
912,2013-07-01,979.6734
913,2013-07-02,707.7103
914,2013-07-03,1164.6401
915,2013-07-04,1337.3605
916,2013-07-05,1591.8289
917,2013-07-06,1527.7346
918,2013-07-07,1466.185
919,2013-07-08,1688.1558
920,2013-07-09,1341.9197
921,2013-07-10,926.92426
922,2013-07-11,1350.0309
923,2013-07-12,599.0311
924,2013-07-13,917.96484
925,2013-07-14,1413.648
926,2013-07-15,1794.6084
927,2013-07-16,2050.7732
928,2013-07-17,2169.154
929,2013-07-18,1611.073
930,2013-07-19,1832.8846
931,2013-07-20,1532.1349
932,2013-07-21,2081.6274
933,2013-07-22,1372.774
934,2013-07-23,1496.0321
935,2013-07-24,1548.9403
936,2013-07-25,1556.3623
937,2013-07-26,2103.6284
938,2013-07-27,1440.9503
939,2013-07-28,1320.2899
940,2013-07-29,2531.2942
941,2013-07-30,1833.7859
942,2013-07-31,1511.4592
943,2013-08-01,1430.3475
944,2013-08-02,2247.403
945,2013-08-03,1225.0764
946,2013-08-04,2202.5
947,2013-08-05,2196.8804
948,2013-08-06,671.9258
949,2013-08-07,1315.6246
